epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8022,2.088,2.17427,1.09822,0.26636,0.16463,0.0972,0.0465,1.99134,1.64067,1.03151,0.00033251,0.00033251,0.0670815
2,91.518,1.96834,1.6983,1.05002,0.21537,0.20261,0.13352,0.06419,1.97889,1.48572,1.02105,0.00065266,0.00065266,0.0340683
3,122.384,1.94528,1.62552,1.03998,0.2503,0.21712,0.14841,0.07667,1.80261,1.44308,0.98162,0.00095961,0.00095961,0.00104191
4,153.456,1.88688,1.55378,1.02667,0.2277,0.20563,0.14072,0.06498,2.00828,1.56979,1.02696,0.0009406,0.0009406,0.0009406
5,183.976,1.86971,1.508,1.01861,0.3895,0.23492,0.18855,0.0964,1.7575,1.32454,0.96868,0.0009208,0.0009208,0.0009208
6,215.061,1.84645,1.48148,1.01092,0.28622,0.23408,0.18313,0.09354,1.79398,1.32312,0.97049,0.000901,0.000901,0.000901
7,245.986,1.82406,1.44608,1.00612,0.30267,0.22943,0.18911,0.09411,1.80434,1.34843,0.96632,0.0008812,0.0008812,0.0008812
8,276.862,1.81256,1.4273,1.00403,0.30872,0.25268,0.20172,0.10272,1.76554,1.28826,0.97042,0.0008614,0.0008614,0.0008614
9,307.912,1.80651,1.41054,1.00203,0.28942,0.2316,0.17995,0.09636,1.71522,1.35837,0.95803,0.0008416,0.0008416,0.0008416
10,339.153,1.78935,1.39504,0.99508,0.31776,0.25553,0.20492,0.10555,1.71422,1.28939,0.95422,0.0008218,0.0008218,0.0008218
11,370.243,1.77759,1.38168,0.99266,0.3654,0.25296,0.21083,0.10471,1.7846,1.33345,0.97076,0.000802,0.000802,0.000802
12,401.438,1.76693,1.36679,0.99188,0.36147,0.25967,0.21487,0.11165,1.69053,1.24858,0.94643,0.0007822,0.0007822,0.0007822
13,432.559,1.76785,1.36763,0.98965,0.34654,0.25909,0.21891,0.11276,1.71561,1.24158,0.95285,0.0007624,0.0007624,0.0007624
14,463.57,1.75649,1.34688,0.98591,0.35101,0.27306,0.22503,0.11822,1.708,1.23021,0.94971,0.0007426,0.0007426,0.0007426
15,494.928,1.75842,1.34056,0.98071,0.36516,0.27717,0.22989,0.12037,1.67245,1.23085,0.94227,0.0007228,0.0007228,0.0007228
